,restaurant,url,distance,star,num_reviews,city,price_range,category_1,category_2
0,Sector 17,https://www.doordash.com/store/884779/?pickup=false,0.9,4.0,640.0,Branpton,$$,Indian,Wraps
1,Golden Palace Restaurant,https://www.doordash.com/store/332454/?pickup=false,2.0,4.0,301.0,Branpton,$$,Chinese,Chicken
2,McDonald's,https://www.doordash.com/store/1140537/?pickup=false,1.0,4.2,890.0,Branpton,$$,Bakery,Chicken
3,San Francisco Place,https://www.doordash.com/store/205349/?pickup=false,0.4,4.4,109.0,Branpton,$,Italian,Sandwiches
4,THE BURGER BROS,https://www.doordash.com/store/940617/?pickup=false,0.09,4.5,481.0,Branpton,$$,Fast Food,Sandwiches
5,Lazeez Shawarma,https://www.doordash.com/store/567102/?pickup=false,0.9,3.7,730.0,Branpton,$$,Shawarma,Vegetarian
6,Fresh Tandoori,https://www.doordash.com/store/303233/?pickup=false,0.9,3.8,1400.0,Branpton,$$,Indian,Vegetarian
7,Henry's Fish & Chips,https://www.doordash.com/store/443240/?pickup=false,0.7,4.5,293.0,Branpton,$$,Fish & Chips,Seafood
8,Pho Viet Nam Restaurant,https://www.doordash.com/store/205291/?pickup=false,0.04,4.2,50.0,Branpton,$$,Vietnamese,Pho
9,Church's Chicken Canada,https://www.doordash.com/store/872402/?pickup=false,1.9,4.0,1700.0,Branpton,$,Wraps,Tenders
10,Punjabi Chaap Corner Canada,https://www.doordash.com/store/1767716/?pickup=false,0.7,4.1,411.0,Branpton,$$,Indian Cuisine,Tandoori
11,Burger King,https://www.doordash.com/store/60362/?pickup=false,1.5,4.0,2400.0,Branpton,$,American,Burgers
12,Shawarma King,https://www.doordash.com/store/484779/?pickup=false,0.8,4.0,600.0,Branpton,$$,Middle Eastern,Wraps
13,Joe's Pizzeria and Spaghetti House,https://www.doordash.com/store/443276/?pickup=false,0.5,4.3,122.0,Branpton,$$,Italian,Pizza
14,Kejjis,https://www.doordash.com/store/525423/?pickup=false,0.4,4.4,107.0,Branpton,$$,African,Pastries
15,Karachi Kitchen,https://www.doordash.com/store/205355/?pickup=false,1.7,4.0,980.0,Branpton,$,Indian,Curry
16,Munchers,https://www.doordash.com/store/1085408/?pickup=false,1.0,4.3,353.0,Branpton,$$,Burgers,Sandwiches
17,Hakka Village Chinese Restaurant,https://www.doordash.com/store/60279/?pickup=false,1.4,4.2,1800.0,Branpton,$,Chinese,Noodles
18,7-Eleven,https://www.doordash.com/convenience/store/992614/?pickup=false,0.2,4.1,540.0,Branpton,$$,7-Eleven,7/11
19,Spicy Island Jerk,https://www.doordash.com/store/567012/?pickup=false,0.2,3.6,19.0,Branpton,$$,Caribbean,Breakfast
20,Shawarma Corner,https://www.doordash.com/store/205191/?pickup=false,1.0,4.5,132.0,Branpton,$,Middle Eastern,Shawarma
21,Dairy Queen,https://www.doordash.com/store/1615538/?pickup=false,0.4,4.6,353.0,Branpton,$$,Ice Cream,Desserts
22,Shawarma Point,https://www.doordash.com/store/1130961/?pickup=false,0.7,3.9,31.0,Branpton,$$,Shawarma,Biryani
23,Shake Therapy,https://www.doordash.com/store/2535823/?pickup=false,0.06,4.6,28.0,Branpton,$$,Comfort Food,Milk Shakes
24,RDs Southern BBQ,https://www.doordash.com/store/443364/?pickup=false,0.5,4.6,197.0,Branpton,$$,Sandwiches,Chicken
25,Angeethi Asli Dhaba,https://www.doordash.com/store/443223/?pickup=false,0.5,4.2,183.0,Branpton,$$,Indian,Barbecue
26,Church's Texas Chicken,https://www.doordash.com/store/1464604/?pickup=false,1.2,4.5,299.0,Branpton,$$,Chicken,Chicken Tenders
27,Burrito Boyz,https://www.doordash.com/store/205278/?pickup=false,0.8,4.4,404.0,Branpton,$$,Gluten-Free,Nachos
28,Sunrise Caribbean Restaurant,https://www.doordash.com/store/205246/?pickup=false,1.7,4.3,321.0,Branpton,$,Breakfast,Caribbean
29,Bombay Blue,https://www.doordash.com/store/2423883/?pickup=false,0.5,4.7,65.0,Branpton,$$,Indian,Curry
30,Pizza Depot,https://www.doordash.com/store/783263/?pickup=false,2.4,4.1,167.0,Branpton,$,Family Meals,Plant Based
31,Yum Shawarma,https://www.doordash.com/store/247731/?pickup=false,2.3,4.3,620.0,Branpton,$$,Burgers,Wraps
32,Tadka King,https://www.doordash.com/store/2491717/?pickup=false,0.06,4.0,47.0,Branpton,$$,Tandoori,Burgers
33,Fresh Burrito,https://www.doordash.com/store/205362/?pickup=false,0.8,4.1,415.0,Branpton,$$,Mexican,Burritos
34,D Spot Dessert Cafe,https://www.doordash.com/store/2571356/?pickup=false,2.3,4.7,52.0,Branpton,$$,Ice Cream,Milk Shakes
35,Nova Grill & Bakery,https://www.doordash.com/store/1555360/?pickup=false,0.2,4.6,38.0,Branpton,$$,Bakery,Sandwiches
36,Kelseys Original Roadhouse,https://www.doordash.com/store/205359/?pickup=false,1.9,4.3,750.0,Branpton,$$,Fried Chicken,Chicken
37,Harvey's,https://www.doordash.com/store/205292/?pickup=false,0.7,4.2,760.0,Branpton,$$,Chicken,Sandwiches
38,Balista,https://www.doordash.com/store/2391176/?pickup=false,1.1,4.3,29.0,Branpton,$$,Sandwiches,Wraps
39,Silver Spoon,https://www.doordash.com/store/205215/?pickup=false,1.2,3.8,750.0,Branpton,$,Indian,Fast Food
40,Paradise Chicken,https://www.doordash.com/store/969535/?pickup=false,0.9,4.4,126.0,Branpton,$$,Chicken,Burgers
41,Heritage Fish & Chips,https://www.doordash.com/store/60224/?pickup=false,1.6,4.5,299.0,Branpton,$$,Fish & Chips,Chicken Wings
42,Osmow's,https://www.doordash.com/store/537072/?pickup=false,0.8,4.2,1000.0,Branpton,$$,Mediterranean,Shawarma
43,Maguires Irish Pub,https://www.doordash.com/store/894225/?pickup=false,1.2,4.3,39.0,Branpton,$$,Pubs,Irish
44,Ice Flame,https://www.doordash.com/store/1364946/?pickup=false,0.9,4.6,136.0,Branpton,$$,Milk Shakes,Ice Cream
45,Subway,https://www.doordash.com/store/455065/?pickup=false,0.8,4.2,119.0,Branpton,$,Wraps,Sandwiches
46,Indian Curry Express,https://www.doordash.com/store/787603/?pickup=false,0.04,4.2,99.0,Branpton,$$,Indian,Vegetarian
47,Quik Chik,https://www.doordash.com/store/863993/?pickup=false,1.7,4.3,130.0,Branpton,$$,Chicken,Sandwiches
48,Btown Pizza,https://www.doordash.com/store/22919059/?pickup=false,0.8,4.2,88.0,Branpton,$$,Italian,Pizza
49,New York Fried Chicken And Burger,https://www.doordash.com/store/541682/?pickup=false,0.9,4.1,86.0,Branpton,$$,Sandwiches,Wraps
