,restaurant,url,category,distance,star,num_reviews
0,Cactus Club Cafe,https://www.doordash.com/store/99807/?pickup=false,"$$ • Vegetarian Friendly, Vegetarian",24 min • 0.3 mi,4.6,"(13,200+)"
1,Seed N Salt,https://www.doordash.com/store/259849/?pickup=false,"$$ • Healthy, Breakfast",29 min • 0.7 mi,4.7,"(7,700+)"
2,Hankki Korean Street food,https://www.doordash.com/store/1386910/?pickup=false,"$$ • Korean, Street Food",22 min • 1.1 mi,4.8,"(4,700+)"
3,JOEY Restaurants,https://www.doordash.com/store/316702/?pickup=false,"$$ • Alcohol, Steak",27 min • 0.6 mi,4.5,"(8,900+)"
4,Popeyes Louisiana Kitchen,https://www.doordash.com/store/838937/?pickup=false,"$ • American, Chicken Tenders",23 min • 1.3 mi,4.3,"(9,500+)"
5,Clive Burger,https://www.doordash.com/store/316790/?pickup=false,$$ • Burgers,19 min • 0.8 mi,4.6,"(8,000+)"
6,Paros Souvla,https://www.doordash.com/store/426380/?pickup=false,"$$ • Greek, Wraps",24 min • 0.9 mi,4.8,"(3,600+)"
7,McDonald's,https://www.doordash.com/store/1058061/?pickup=false,"$ • Bakery, Chicken",15 min • 0.2 mi,4.4,"(2,500+)"
8,Native Tongues Taqueria,https://www.doordash.com/store/263167/?pickup=false,"$$ • Tacos, Beer",17 min • 0.3 mi,4.7,"(9,300+)"
9,Dairy Queen,https://www.doordash.com/store/99919/?pickup=false,"$ • Ice Cream, Desserts",18 min • 0.9 mi,4.6,"(1,000+)"
10,Pho HouZ Vietnamese Kitchen,https://www.doordash.com/store/448841/?pickup=false,"$$ • Vietnamese, Gluten-Free",29 min • 1.3 mi,4.6,"(2,900+)"
11,Fork and Salad,https://www.doordash.com/store/100301/?pickup=false,"$ • Salads, Smoothies",17 min • 0.9 mi,4.6,"(2,700+)"
12,Kim Anh Vietnamese Submarines,https://www.doordash.com/store/99632/?pickup=false,"$ • Vietnamese, Appetizers",16 min • 0.7 mi,4.6,"(2,800+)"
13,Earls Kitchen + Bar,https://www.doordash.com/store/2378799/?pickup=false,"$$ • Canadian, Alcohol",24 min • 0.3 mi,4.5,"(1,000+)"
14,Cluck N Cleaver,https://www.doordash.com/store/255587/?pickup=false,"$$ • Chicken, Fried Chicken",24 min • 1.4 mi,4.5,"(3,800+)"
15,Hotshot Liquor Store,https://www.doordash.com/store/1747661/?pickup=false,"$$ • Alcohol, Beer",23 min • 1.5 mi,4.8,"(1,200+)"
16,Noodlebox,https://www.doordash.com/store/574712/?pickup=false,"$$ • Asian Fusion, Noodles",20 min • 0.9 mi,4.5,"(3,900+)"
