,restaurant,url,category,distance,star,num_reviews
0,McDonald's,https://www.doordash.com/store/1139979/?pickup=false,"$$ • Pastries, Dessert",0.2 mi • 20 min,4.3,"(2,200+)"
1,Poulet Bronze,https://www.doordash.com/store/630043/?pickup=false,"$$ • Fried Chicken, Shrimp",0.2 mi • 15 min,4.5,"(2,900+)"
2,Joe's Panini 24hrs (1404 Rue Drummond),https://www.doordash.com/store/779582/?pickup=false,"$ • Sandwiches, Dessert",0.2 mi • 19 min,4.2,"(3,300+)"
3,I Am Pho,https://www.doordash.com/store/630259/?pickup=false,"$$ • Vietnamese, Pho",0.3 mi • 24 min,4.7,"(5,100+)"
4,Wok Cafe,https://www.doordash.com/store/629803/?pickup=false,"$$ • Chinese, Noodles",0.4 mi • 24 min,4.5,"(4,600+)"
5,Mexigrill Express,https://www.doordash.com/store/732468/?pickup=false,"$$ • Mexican, Burritos",1.1 mi • 24 min,4.2,"(4,200+)"
6,Mandy's,https://www.doordash.com/store/714526/?pickup=false,"$$ • Salads, Dessert",400 ft • 18 min,4.6,"(2,300+)"
7,Poke Monster,https://www.doordash.com/store/1745199/?pickup=false,"$$ • Tartar, Burgers",1.4 mi • 27 min,4.5,"(1,200+)"
8,Green Spot,https://www.doordash.com/store/630091/?pickup=false,"$$ • French, Sandwiches",1.2 mi • 29 min,4.6,"(2,900+)"
9,Sumac,https://www.doordash.com/store/630182/?pickup=false,"$$ • Middle Eastern, Beer",1.3 mi • 25 min,4.7,"(3,200+)"
10,Five Guys Burgers & Fries,https://www.doordash.com/store/946272/?pickup=false,"$$ • Hot Dogs, Dinner",1.0 mi • 24 min,4.5,"(1,800+)"
11,Notre-Boeuf-de-Grâce,https://www.doordash.com/store/641239/?pickup=false,"$$ • French, Burgers",600 ft • 15 min,4.5,"(1,200+)"
12,Subway,https://www.doordash.com/store/799041/?pickup=false,"$$ • Build Your Own, Cookies",0.2 mi • 16 min,4.2,"(1,500+)"
13,Pizza Hut,https://www.doordash.com/store/944052/?pickup=false,"$ • Italian, Pizza",800 ft • 20 min,4.3,(323)
14,Thali Cuisine Indienne,https://www.doordash.com/store/630012/?pickup=false,"$$ • Indian, Tandoori",0.4 mi • 17 min,4.3,"(2,100+)"
15,Restaurant PM,https://www.doordash.com/store/691059/?pickup=false,"$$ • Chinese, Seafood",0.3 mi • 18 min,4.4,"(4,700+)"
16,Desserts Etc,https://www.doordash.com/store/624908/?pickup=false,"$$ • Breakfast, Sandwiches",0.4 mi • 22 min,4.5,"(1,800+)"
17,El Pastaman,https://www.doordash.com/store/840853/?pickup=false,"$$ • Italian, Dessert",1.4 mi • 25 min,4.7,"(1,800+)"
