,restaurant,url,category,distance,star,num_reviews
0,Chipotle,https://www.doordash.com/store/340542/?pickup=false,"$$ • Mexican, Tacos",0.3 mi • 18 min,4.3,"(9,600+)"
1,Osmow's,https://www.doordash.com/store/626394/?pickup=false,"$$ • Mediterranean, Shawarma",0.6 mi • 23 min,4.2,"(2,800+)"
2,Shawarma's King,https://www.doordash.com/store/299190/?pickup=false,"$$ • Sandwiches, Salads",0.7 mi • 17 min,4.2,"(2,400+)"
3,Wendy's,https://www.doordash.com/store/23069820/?pickup=false,"$ • Burgers, American",0.8 mi • 19 min,4.5,(121)
4,Burrito Gringo,https://www.doordash.com/store/298911/?pickup=false,"$$ • Mexican, Burritos",1.2 mi • 24 min,4.3,"(1,200+)"
5,3 Brothers Shawarma & Poutine,https://www.doordash.com/store/298512/?pickup=false,"$$ • Shawarma, Pizza",1.2 mi • 22 min,4.3,"(1,200+)"
6,Shawarma Palace,https://www.doordash.com/store/298783/?pickup=false,"$$ • Shawarma, Sandwiches",0.9 mi • 24 min,4.4,"(1,200+)"
7,Thai Express,https://www.doordash.com/store/978755/?pickup=false,"$ • Asian, Thai",0.9 mi • 21 min,4.3,"(1,100+)"
8,Dal Moro's Fresh Pasta To Go,https://www.doordash.com/store/843936/?pickup=false,"$$ • Italian, Alcohol",0.5 mi • 19 min,4.5,(910+)
9,Chatime,https://www.doordash.com/store/956608/?pickup=false,"$$ • Bubble Tea, Taiwanese",0.6 mi • 16 min,4.7,(770+)
10,McDonald's,https://www.doordash.com/store/1140431/?pickup=false,"$$ • Bakery, Chicken",900 ft • 12 min,4.4,(360)
11,Dairy Queen,https://www.doordash.com/store/2614307/?pickup=false,"$$ • Ice Cream, Desserts",2.4 mi • 29 min,4.3,(354)
12,No Forks Given,https://www.doordash.com/store/1557857/?pickup=false,"$$ • Plant Based, Poutineries",0.9 mi • 24 min,4.7,(158)
13,Burger King,https://www.doordash.com/store/920834/?pickup=false,"$ • American, Breakfast",1.9 mi • 25 min,4.1,(940+)
14,Harvey's,https://www.doordash.com/store/707658/?pickup=false,"$ • Chicken, Sandwiches",0.5 mi • 16 min,4.5,(670+)
15,Sushiman,https://www.doordash.com/store/1789799/?pickup=false,"$$ • Japanese, Nigiri",1.0 mi • 26 min,4.5,(248)
