,restaurant,url,category,distance,star,num_reviews
0,DashMart,https://www.doordash.com/convenience/store/1894766/?pickup=false,"$ • Grocery, Snacks",16 min • 1.2 mi,4.8,"(4,200+)"
1,Chipotle,https://www.doordash.com/store/277244/?pickup=false,"$$ • Mexican, Tacos",15 min • 0.3 mi,4.4,"(21,000+)"
2,McDonald's,https://www.doordash.com/store/1140014/?pickup=false,"$$ • Bakery, Chicken",13 min • 600 ft,4.4,"(2,700+)"
3,Nando's PERi-PERi,https://www.doordash.com/store/28752/?pickup=false,"$$ • Chicken, Sandwiches",19 min • 0.6 mi,4.5,"(19,800+)"
4,Yamato Sushi Restaurant,https://www.doordash.com/store/28222/?pickup=false,"$ • Japanese, Sushi",22 min • 0.6 mi,4.6,"(12,900+)"
5,Tasty Indian Bistro,https://www.doordash.com/store/554073/?pickup=false,"$$ • Indian, Alcohol",29 min • 0.6 mi,4.6,"(12,800+)"
6,Nook,https://www.doordash.com/store/31810/?pickup=false,"$$ • Italian, Pizza",25 min • 0.8 mi,4.6,"(4,000+)"
7,Tacofino Yaletown Burrito Bar,https://www.doordash.com/store/335202/?pickup=false,"$$ • Mexican, Burritos",23 min • 0.3 mi,4.7,"(5,100+)"
8,Thai Basil,https://www.doordash.com/store/28189/?pickup=false,"$ • Thai, Noodles",26 min • 0.8 mi,4.6,"(5,600+)"
9,Sushi Bros (Robson St),https://www.doordash.com/store/972087/?pickup=false,"$ • Japanese, Sushi",16 min • 600 ft,4.7,"(2,600+)"
10,Kokomo,https://www.doordash.com/store/160157/?pickup=false,"$$ • Snacks, Smoothies",16 min • 0.8 mi,4.7,"(5,700+)"
11,Juke Fried Chicken,https://www.doordash.com/store/65012/?pickup=false,"$$ • Fried Chicken, Black Owned",18 min • 0.6 mi,4.5,"(14,800+)"
12,Jinya Ramen Bar,https://www.doordash.com/store/28155/?pickup=false,"$$ • Japanese, Ramen",21 min • 900 ft,4.6,"(12,300+)"
