,restaurant,url,category,distance,star,num_reviews
0,Baked Expectations,https://www.doordash.com/store/568508/?pickup=false,"$$ • Cakes, Cheesecake",1.0 mi • 22 min,4.6,"(8,500+)"
1,Banh Mi King,https://www.doordash.com/store/562258/?pickup=false,"$$ • Vietnamese, Coffee",0.5 mi • 22 min,4.7,"(6,200+)"
2,LOCAL Public Eatery,https://www.doordash.com/store/802393/?pickup=false,"$$ • Alcohol, Sandwiches",600 ft • 15 min,4.6,"(8,100+)"
3,Stella's,https://www.doordash.com/store/341843/?pickup=false,"$$ • Breakfast, Sandwiches",0.4 mi • 29 min,4.5,"(3,800+)"
4,Earls Kitchen + Bar,https://www.doordash.com/store/2865499/?pickup=false,"$$ • Canadian, Alcohol",0.2 mi • 28 min,4.6,(300)
5,Gongcha,https://www.doordash.com/store/638771/?pickup=false,"$$ • Bubble Tea, Milk Tea",1.0 mi • 24 min,4.7,"(7,500+)"
6,Poke Mono,https://www.doordash.com/store/897506/?pickup=false,"$$ • Hawaiian, Poke",0.4 mi • 27 min,4.8,"(4,800+)"
7,Nuburger,https://www.doordash.com/store/341641/?pickup=false,"$$ • Burgers, Fries",1.0 mi • 24 min,4.5,"(4,700+)"
8,Noodle Express,https://www.doordash.com/store/341734/?pickup=false,"$$ • Chinese, Dim Sum",0.7 mi • 25 min,4.7,"(4,000+)"
9,A Little Pizza Heaven,https://www.doordash.com/store/1890178/?pickup=false,"$$ • Pizza, Chicken",0.9 mi • 26 min,4.6,"(1,300+)"
10,Dug & Betty's Ice Creamery,https://www.doordash.com/store/894689/?pickup=false,"$$ • Ice Cream, Milk Shakes",1.5 mi • 29 min,4.8,"(2,800+)"
11,Harvey's,https://www.doordash.com/store/785283/?pickup=false,"$ • Chicken, Sandwiches",0.7 mi • 18 min,4.4,"(2,900+)"
12,Jade 276,https://www.doordash.com/store/635416/?pickup=false,"$$ • Chinese, Noodles",2.0 mi • 30 min,4.6,"(1,700+)"
13,Smoke's Poutinerie,https://www.doordash.com/store/369240/?pickup=false,"$ • Pork, Boneless Wings",0.5 mi • 22 min,4.4,"(2,200+)"
14,Burrito del Rio,https://www.doordash.com/store/341759/?pickup=false,"$$ • Mexican, Burritos",0.8 mi • 21 min,4.7,"(3,100+)"
15,Nhu Quynh Restaurant 天,https://www.doordash.com/store/1647988/?pickup=false,"$$ • Vietnamese, Chinese",0.8 mi • 21 min,4.7,(890+)
16,Kevin's (Bannatyne Ave),https://www.doordash.com/store/341627/?pickup=false,"$$ • Alcohol, Dessert",0.5 mi • 24 min,4.6,"(3,900+)"
17,Chosabi,https://www.doordash.com/store/341829/?pickup=false,"$$ • Asian Fusion, Japanese",0.5 mi • 18 min,4.8,"(1,300+)"
18,Johnny G's (Winnipeg),https://www.doordash.com/store/1747412/?pickup=false,"$$ • Pubs, Burgers",0.3 mi • 19 min,4.3,(860+)
19,Zax Drive Inn,https://www.doordash.com/store/568245/?pickup=false,"$$ • Burgers, Hot Dogs",2.1 mi • 29 min,4.5,"(2,600+)"
20,Chocoberry Dessert House,https://www.doordash.com/store/341817/?pickup=false,"$$ • Dessert, Sweets",0.9 mi • 22 min,4.4,"(1,400+)"
21,Papa Johns,https://www.doordash.com/store/1089457/?pickup=false,"$$ • Italian, Pizza",1.9 mi • 29 min,4.5,"(1,300+)"
22,7-Eleven,https://www.doordash.com/store/992402/?pickup=false,"$$ • Burgers, Wings",1.2 mi • 24 min,4.6,(560+)
23,The Poutine King Restaurant & Lounge,https://www.doordash.com/store/564362/?pickup=false,"$$ • Poutineries, Wraps",0.9 mi • 21 min,4.2,"(1,800+)"
24,Magic Bird Fried Chicken,https://www.doordash.com/store/925918/?pickup=false,"$$ • Fried Chicken, Sandwiches",1.1 mi • 26 min,4.4,"(2,100+)"
25,The Mighty Kiwi,https://www.doordash.com/store/1249160/?pickup=false,"$$ • Breakfast, Smoothies",1.5 mi • 27 min,4.9,(850+)
26,Bangkok Thai Restaurant,https://www.doordash.com/store/369254/?pickup=false,"$ • Thai, Soup",0.9 mi • 28 min,4.6,"(1,400+)"
27,KFC,https://www.doordash.com/store/942899/?pickup=false,"$ • Fast Food, Chicken",1.0 mi • 21 min,4.2,(770+)
28,Thida's Thai Restaurant,https://www.doordash.com/store/341707/?pickup=false,"$$ • Thai, Soup",0.3 mi • 24 min,4.3,"(1,100+)"
29,Tom Yum Thai Restaurant,https://www.doordash.com/store/341769/?pickup=false,"$$ • Thai, Fries",1.0 mi • 26 min,4.4,"(1,100+)"
30,Little Korea,https://www.doordash.com/store/1766696/?pickup=false,"$$ • Korean, Noodles",0.6 mi • 23 min,4.6,(680+)
31,McDonald's,https://www.doordash.com/store/1139910/?pickup=false,"$$ • Bakery, Chicken",400 ft • 13 min,4.5,(610+)
32,Loaded Pierogi,https://www.doordash.com/store/1508934/?pickup=false,"$$ • Salads, Beer",1.1 mi • 25 min,4.5,(710+)
33,George's Burgers & Subs,https://www.doordash.com/store/1322540/?pickup=false,"$$ • Burgers, Fries",2.0 mi • 30 min,4.6,"(1,100+)"
34,Sultan's Shawarma,https://www.doordash.com/store/341808/?pickup=false,"$$ • Middle Eastern, Shawarma",0.6 mi • 23 min,4.3,"(2,500+)"
35,Taco Bell,https://www.doordash.com/store/1352901/?pickup=false,"$$ • Mexican, Vegetarian",1.8 mi • 30 min,4.2,(610+)
36,Atiga Restaurant,https://www.doordash.com/store/823418/?pickup=false,"$$ • African, Soup",0.6 mi • 30 min,4.3,(910+)
37,Affinity Vegetarian Garden Restaurant,https://www.doordash.com/store/341556/?pickup=false,"$$ • Asian Fusion, Vegetarian",0.2 mi • 21 min,4.8,"(1,000+)"
38,Burger King,https://www.doordash.com/store/858443/?pickup=false,"$ • American, Breakfast",1.2 mi • 20 min,4.4,(750+)
39,Chicken Chef,https://www.doordash.com/store/582386/?pickup=false,"$$ • Chicken, Burgers",1.4 mi • 25 min,4.3,(560+)
40,Taste Of Mediterranean,https://www.doordash.com/store/341827/?pickup=false,"$$ • Mediterranean, Sandwiches",0.3 mi • 25 min,4.5,(480)
41,Kumpares Grillhouse,https://www.doordash.com/store/2877456/?pickup=false,"$$ • Filipino, Breakfast",1.2 mi • 29 min,4.5,(358)
42,Panda Tea,https://www.doordash.com/store/1852340/?pickup=false,"$$ • Milk Tea, Fruit Tea",0.5 mi • 17 min,4.6,(309)
43,India Palace,https://www.doordash.com/store/369233/?pickup=false,"$ • Indian, Vegetarian",1.1 mi • 25 min,4.3,(770+)
44,Pho Hoi An,https://www.doordash.com/store/1563135/?pickup=false,"$$ • Vietnamese, Pho",0.6 mi • 26 min,4.6,(235)
45,Friends Donair and Shawarma,https://www.doordash.com/store/2365733/?pickup=false,"$$ • Shawarma, Snacks",1.4 mi • 24 min,4.6,(237)
46,Taste of Sri Lanka Restaurant,https://www.doordash.com/store/1287006/?pickup=false,"$$ • Vegetarian, Roti",0.6 mi • 19 min,4.6,(414)
47,The Tallest Poppy,https://www.doordash.com/store/341688/?pickup=false,"$$ • Alcohol, Sandwiches",1.0 mi • 28 min,4.7,"(1,200+)"
48,Elephant & Castle,https://www.doordash.com/store/966733/?pickup=false,"$ • Burgers, Sandwiches",800 ft • 25 min,4.2,(426)
49,Charisma of India,https://www.doordash.com/store/341491/?pickup=false,"$$ • Indian, Vegetarian",1.1 mi • 26 min,4.5,(900+)
50,New Asia Chinese Food,https://www.doordash.com/store/341626/?pickup=false,"$$ • Chinese, Seafood",1.3 mi • 26 min,4.4,(690+)
51,Farmery Estate Brewery,https://www.doordash.com/store/2671948/?pickup=false,"$$ • Alcohol, Beer",1.0 mi • 28 min,4.8,(161)
52,Isaytakoyummy,https://www.doordash.com/store/1549350/?pickup=false,$$ • Japanese,1.9 mi • 28 min,4.7,(590+)
53,East India Company,https://www.doordash.com/store/341646/?pickup=false,"$$ • Indian, Vegetarian",0.2 mi • 27 min,4.5,(850+)
54,The Original Pancake House (WPG),https://www.doordash.com/store/584795/?pickup=false,"$$ • American, Breakfast",0.6 mi • 27 min,4.3,(457)
55,Sushi Gen Restaurant,https://www.doordash.com/store/369394/?pickup=false,"$ • Japanese, Sushi",0.5 mi • 25 min,4.5,(309)
56,Next Stop Cafe,https://www.doordash.com/store/879428/?pickup=false,"$$ • Cafe, Milk Shakes",1.4 mi • 30 min,4.6,(550+)
57,Fergies Fish and Chips,https://www.doordash.com/store/341735/?pickup=false,"$$ • Seafood, Fish & Chips",0.6 mi • 28 min,4.6,(820+)
58,Ming Court Restaurant & Bar,https://www.doordash.com/store/549529/?pickup=false,"$$ • Chinese, Vegetarian",0.2 mi • 22 min,4.4,(351)
59,Little Caesars Pizza,https://www.doordash.com/store/1149001/?pickup=false,"$$ • Italian, Pizza",1.0 mi • 23 min,4.4,(469)
60,Tim Hortons,https://www.doordash.com/store/1033093/?pickup=false,"$ • Canadian, Sandwiches",700 ft • 13 min,4.4,(197)
61,Mr. Calzone,https://www.doordash.com/store/1801983/?pickup=false,"$$ • Middle Eastern, Pizza",1.1 mi • 28 min,4.2,(262)
62,MrBeast Burger Canada,https://www.doordash.com/store/2637696/?pickup=false,"$$ • Burgers, Cheeseburger",0.9 mi • 24 min,3.7,(600+)
63,Pizza Hut,https://www.doordash.com/store/944054/?pickup=false,"$$ • Italian, Pizza",1.0 mi • 23 min,4.4,(344)
64,Quesada Burritos & Tacos,https://www.doordash.com/store/632500/?pickup=false,"$$ • Mexican, Tacos",700 ft • 15 min,4.4,(482)
65,Booster Juice,https://www.doordash.com/store/2370340/?pickup=false,"$$ • Juice Bars & Smoothies, Healthy",0.2 mi • 17 min,4.7,(97)
66,King + Bannatyne,https://www.doordash.com/store/569735/?pickup=false,"$$ • Sandwiches, Vegan",0.4 mi • 19 min,4.7,(341)
67,Chaeban Ice Cream,https://www.doordash.com/store/563996/?pickup=false,"$$ • Dessert, Ice Cream",1.5 mi • 24 min,4.6,(252)
68,Chicken Delight,https://www.doordash.com/store/926927/?pickup=false,"$$ • Pizza, Chicken",0.8 mi • 21 min,4.4,(428)
69,Pizza Pizza,https://www.doordash.com/store/625748/?pickup=false,"$$ • Italian, Pizza",0.7 mi • 23 min,4.3,(710+)
70,Tipsy Cow,https://www.doordash.com/store/1547362/?pickup=false,"$$ • American, Burgers",900 ft • 23 min,4.5,(323)
71,Azalea Chinese Restaurant,https://www.doordash.com/store/341485/?pickup=false,"$$ • Chinese, Noodles",0.7 mi • 25 min,4.4,(550+)
72,Chosabi,https://www.doordash.com/store/2089382/?pickup=false,"$$ • Asian Food, Sushi",0.4 mi • 18 min,4.7,(100)
73,Bodegoes,https://www.doordash.com/store/582270/?pickup=false,"$$ • Mexican, Salads",0.4 mi • 20 min,4.6,(248)
74,Fusion Wok,https://www.doordash.com/store/1021184/?pickup=false,"$$ • Chinese, Noodles",1.3 mi • 23 min,4.5,(264)
75,Altanour Restaurant & Deli,https://www.doordash.com/store/782535/?pickup=false,"$$ • Deli, Wraps",0.8 mi • 24 min,4.5,(418)
76,Zorba's Greek + Italian,https://www.doordash.com/store/576580/?pickup=false,"$$ • Greek, Italian",0.6 mi • 25 min,4.5,(257)
77,Corrientes Argentine Pizzeria,https://www.doordash.com/store/341576/?pickup=false,"$$ • Latin American, Pizza",0.5 mi • 24 min,4.6,(476)
78,White Star Diner,https://www.doordash.com/store/341599/?pickup=false,"$$ • Sandwiches, Burgers",0.3 mi • 18 min,4.7,(297)
79,Les Saj Restaurant,https://www.doordash.com/store/23058118/?pickup=false,"$$ • Arabian, Wraps",0.5 mi • 17 min,4.4,
80,Honu Poke,https://www.doordash.com/store/2398044/?pickup=false,"$$ • Hawaiian, Poke",500 ft • 23 min,4.6,(91)
81,La Farina,https://www.doordash.com/store/1305675/?pickup=false,"$$ • Pizza, Keto",0.7 mi • 24 min,4.7,(246)
82,Circle K,https://www.doordash.com/convenience/store/1344371/?pickup=false,"$$ • Breakfast, Ice Cream",0.8 mi • 20 min,4.2,(302)
83,Eva's Gelato & Coffee Bar,https://www.doordash.com/store/884862/?pickup=false,"$$ • Argentine, Gelato",1.9 mi • 26 min,4.9,(139)
84,The Good Will Social Club/Khao House (Portage Ave),https://www.doordash.com/store/2494997/?pickup=false,"$$ • Burgers, Sandwiches",0.8 mi • 23 min,4.8,(144)
85,Shawarma Xpress,https://www.doordash.com/store/552567/?pickup=false,"$$ • Mediterranean, Shawarma",0.3 mi • 22 min,4.3,(195)
86,A&W Canada,https://www.doordash.com/store/581691/?pickup=false,"$ • Canadian, Breakfast",400 ft • 15 min,4.3,(353)
87,Saffron's Restaurant,https://www.doordash.com/store/341781/?pickup=false,"$$ • Mediterranean, Pizza",1.5 mi • 25 min,4.1,(184)
88,Daanook Restaurant,https://www.doordash.com/store/1259677/?pickup=false,"$$ • Wraps, Burgers",0.3 mi • 17 min,4.7,(124)
89,99 Cent Pizza,https://www.doordash.com/store/823656/?pickup=false,"$$ • Chicken Wings, Pizza",0.6 mi • 20 min,3.4,(27)
90,Fusian Experience,https://www.doordash.com/store/341815/?pickup=false,"$$ • Dessert, Asian Fusion",0.2 mi • 30 min,4.6,(212)
